Disease_ID,Disease_Name,Description,Department_ID,Severity_Level
DIS001,Actinic Keratosis,"Actinic keratosis is a rough, scaly patch on the skin caused by prolonged sun exposure, and is considered a precancerous condition that can develop into squamous cell carcinoma.",DEPT006,Low
DIS002,Acute Bronchiolitis,"Acute bronchiolitis is a common lower respiratory tract infection in infants, usually caused by RSV, leading to wheezing, coughing, and difficulty breathing.",DEPT002,Low
DIS003,Acute Bronchitis,"Acute bronchitis is inflammation of the bronchial tubes in the lungs, typically caused by a viral infection, resulting in cough, mucus production, chest discomfort, and low-grade fever.",DEPT002,Medium
DIS004,Acute Bronchospasm,"Acute bronchospasm is a sudden constriction of the muscles in the walls of the bronchioles, often triggered by asthma or allergens, causing wheezing and difficulty breathing.",DEPT002,High
DIS005,Acute Gastroenteritis,Requires Clinical Validation,DEPT004,Low
DIS006,Acute Kidney Injury,"Acute kidney injury (AKI) is a sudden loss of kidney function due to illness, injury, or toxins, leading to buildup of waste products in the blood.",DEPT003,High
DIS007,Acute Pancreatitis,"Acute pancreatitis is a sudden inflammation of the pancreas that causes severe abdominal pain, nausea, vomiting, and elevated pancreatic enzymes, often due to gallstones or alcohol use.",DEPT004,High
DIS008,Acute Sinusitis,"Acute sinusitis is a temporary inflammation or infection of the sinuses, usually following a cold, causing nasal congestion, facial pain, pressure, and headache.",DEPT002,Low
DIS009,Allergy,"An allergy is an overreaction of the immune system to substances like pollen, food, or medications, causing symptoms like sneezing, itching, rash, or anaphylaxis.",DEPT017,Low
DIS010,Amyotrophic Lateral Sclerosis,Requires Clinical Validation,DEPT008,High
DIS011,Anemia,Requires Clinical Validation,DEPT014,Low
DIS012,Angina,"Angina is chest pain or discomfort due to reduced blood flow to the heart muscle, often triggered by exertion or stress, and relieved by rest or medication.",DEPT001,Low
DIS013,Anxiety,"Anxiety is a mental health condition characterized by excessive worry, nervousness, or fear that interferes with daily activities, often accompanied by physical symptoms like restlessness, sweating, or rapid heartbeat.",DEPT009,Low
DIS014,Appendicitis,"Appendicitis is inflammation of the appendix, usually requiring surgery, and causes sudden lower right abdominal pain, nausea, and fever.",DEPT004,High
DIS015,Arthritis,Requires Clinical Validation,DEPT007,Medium
DIS016,Arthritis Of The Hip,"Arthritis of the hip involves inflammation and degeneration of the hip joint cartilage, leading to pain, stiffness, and reduced mobility, commonly due to osteoarthritis.",DEPT007,Medium
DIS017,Asthma,"Asthma is a chronic inflammatory disease of the airways causing recurrent wheezing, breathlessness, chest tightness, and coughing, often triggered by allergens, exercise, or cold air.",DEPT002,Medium
DIS018,Benign Prostatic Hyperplasia (bph),"BPH is a non-cancerous enlargement of the prostate gland in older men, causing difficulty urinating, weak stream, or frequent urination, especially at night.",DEPT010,Low
DIS019,Brachial Neuritis,"Brachial neuritis is inflammation of the brachial plexus nerves, causing sudden shoulder and arm pain followed by weakness or numbness.",DEPT019,Low
DIS020,Bronchitis,Requires Clinical Validation,DEPT002,Medium
DIS021,Bursitis,"Bursitis is inflammation of the bursae—small fluid-filled sacs that cushion bones and joints—causing joint pain, swelling, and limited movement, often from repetitive motion or pressure.",DEPT007,Low
DIS022,Cancer,Requires Clinical Validation,DEPT015,High
DIS023,Carpal Tunnel Syndrome,"Carpal tunnel syndrome is a condition caused by compression of the median nerve in the wrist, leading to numbness, tingling, and weakness in the hand and fingers.",DEPT007,Low
DIS024,Cholecystitis,"Cholecystitis is inflammation of the gallbladder, often due to gallstones, causing severe upper abdominal pain, fever, nausea, and tenderness.",DEPT003,Low
DIS025,Chronic Back Pain,"Chronic back pain is persistent or recurring pain in the back lasting more than three months, often due to structural issues, nerve damage, or degenerative conditions.",DEPT007,Low
DIS026,Chronic Constipation,"Chronic constipation is a long-term condition characterized by infrequent or difficult bowel movements, often accompanied by abdominal discomfort or bloating.",DEPT004,Low
DIS027,Chronic Kidney Disease,Requires Clinical Validation,DEPT003,Medium
DIS028,Chronic Liver Disease,Requires Clinical Validation,DEPT004,Low
DIS029,Chronic Obstructive Pulmonary Disease (copd),"COPD is a group of progressive lung diseases, including emphysema and chronic bronchitis, characterized by airflow limitation, coughing, wheezing, and shortness of breath.",DEPT002,High
DIS030,Cirrhosis,Requires Clinical Validation,DEPT004,High
DIS031,Common Cold,"The common cold is a viral infection of the upper respiratory tract, typically causing sneezing, sore throat, nasal congestion, cough, and mild fever.",DEPT016,Low
DIS032,Complex Regional Pain Syndrome,"Complex regional pain syndrome (CRPS) is a chronic pain condition usually affecting a limb after injury, with symptoms including burning pain, swelling, and sensitivity to touch.",DEPT019,Low
DIS033,Concussion,"A concussion is a mild traumatic brain injury caused by a blow to the head or body, resulting in temporary loss of brain function, such as confusion, memory loss, or dizziness.",DEPT008,Low
DIS034,Conjunctivitis,"Conjunctivitis (pink eye) is inflammation of the conjunctiva of the eye due to infection or allergy, resulting in redness, discharge, and eye irritation.",DEPT011,Low
DIS035,Conjunctivitis Due To Allergy,"Allergic conjunctivitis is inflammation of the conjunctiva (eye lining) caused by allergens like pollen or dust, leading to red, itchy, watery eyes without infectious discharge.",DEPT011,Low
DIS036,Contact Dermatitis,"Contact dermatitis is a skin inflammation caused by exposure to an irritant or allergen, resulting in redness, itching, blisters, or dryness.",DEPT006,Low
DIS037,Copd,Requires Clinical Validation,DEPT002,High
DIS038,Cornea Infection,"Cornea infection (keratitis) is an infection of the transparent front part of the eye, usually caused by bacteria, fungi, or viruses, leading to eye pain, redness, blurred vision, and light sensitivity.",DEPT011,Low
DIS039,Coronary Artery Disease,Requires Clinical Validation,DEPT001,Low
DIS040,Covid-19,Requires Clinical Validation,DEPT016,Low
DIS041,Covid19,Requires Clinical Validation,DEPT016,Low
DIS042,Crohn Disease,Requires Clinical Validation,DEPT004,Medium
