Disease,Recommended_Diet,Foods_To_Avoid
Actinic Keratosis,"Antioxidant-rich foods (berries, spinach, nuts); Vitamin E-rich foods (almonds, sunflower seeds); Omega-3 fatty acids (salmon, flaxseeds); Green tea; Avoid excessive sun exposure",Requires Clinical Validation - not specified in source data
Acute Bronchiolitis,"Hydration (water, herbal teas); Vitamin C-rich foods (oranges, strawberries); Protein-rich foods (chicken, beans); Avoid dairy if mucus increases; Anti-inflammatory foods (ginger, turmeric)",Requires Clinical Validation - not specified in source data
Acute Bronchitis,"Hydration; Vitamin C-rich foods (citrus fruits, bell peppers); Avoid dairy if mucus increases; Anti-inflammatory foods (ginger, turmeric); Protein-rich foods (chicken, beans)",Requires Clinical Validation - not specified in source data
Acute Bronchospasm,"Anti-inflammatory foods (ginger, turmeric); Omega-3 fatty acids (wild salmon, chia seeds); Vitamin C-rich foods (citrus fruits); Hydration; Avoid dairy if mucus increases",Requires Clinical Validation - not specified in source data
Acute Gastroenteritis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Acute Kidney Injury,"Low-protein diet (consult doctor); Limit sodium (avoid processed foods); Potassium regulation (bananas, potatoes – based on medical advice); Hydration monitoring; Avoid high-phosphorus foods (dairy, nuts)",Requires Clinical Validation - not specified in source data
Acute Pancreatitis,"Low-fat foods (boiled vegetables, lean chicken breast); Small frequent meals; Broths and clear liquids (chicken broth, vegetable broth); Avoid alcohol and caffeine; Lean proteins (tofu, white fish)",Requires Clinical Validation - not specified in source data
Acute Sinusitis,"Spicy foods (hot peppers, horseradish); Hydration (water, herbal teas); Vitamin C-rich foods (oranges, strawberries); Warm teas (ginger, chamomile); Avoid processed sugars",Requires Clinical Validation - not specified in source data
Allergy,"Elimination diet (avoid allergen foods); Omega-3 fatty acids (salmon, flaxseeds); Vitamin C-rich foods (oranges, bell peppers); Quercetin-rich foods (apples, onions); Probiotics (yogurt, kefir)",Requires Clinical Validation - not specified in source data
Amyotrophic Lateral Sclerosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Anemia,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Angina,"Heart-healthy diet (oats, olive oil, fish); Omega-3 fatty acids (salmon, flaxseed); Low-sodium foods; Fruits and vegetables; Avoid trans fats and red meat",Requires Clinical Validation - not specified in source data
Anxiety,"Magnesium-rich foods (nuts, seeds); Omega-3 fatty acids (salmon, chia seeds); Vitamin B-complex foods (whole grains, eggs); Probiotics (kimchi, yogurt); Limit caffeine and sugar",Requires Clinical Validation - not specified in source data
Appendicitis,"Post-surgery: soft foods (broths, rice, applesauce); Hydration; Avoid high-fat and spicy foods; Gradually introduce fiber (vegetables, fruits); Probiotics",Requires Clinical Validation - not specified in source data
Arthritis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Arthritis Of The Hip,"Anti-inflammatory foods (olive oil, turmeric, berries); Omega-3 fatty acids (fish, flaxseeds); Calcium-rich foods (dairy, leafy greens); Vitamin D-rich foods (fortified milk, egg yolk); Maintain healthy weight diet",Requires Clinical Validation - not specified in source data
Asthma,"Anti-inflammatory foods (blueberries, kale, turmeric); Magnesium-rich foods (pumpkin seeds, spinach); Omega-3s (wild salmon, chia seeds); Avoid dairy if sensitive; Vitamin D-rich foods (egg yolks, fortified milk)",Requires Clinical Validation - not specified in source data
Benign Prostatic Hyperplasia (bph),"Hydration; Limit caffeine and alcohol; Zinc-rich foods (pumpkin seeds, beef); Tomatoes (lycopene); High-fiber foods (whole grains, fruits, vegetables)",Requires Clinical Validation - not specified in source data
Brachial Neuritis,"Protein-rich foods (chicken, beans); Anti-inflammatory foods (turmeric, ginger); Omega-3 fatty acids (salmon, walnuts); Vitamin B complex (whole grains, eggs); Hydration",Requires Clinical Validation - not specified in source data
Bronchitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Bursitis,"Anti-inflammatory foods (turmeric, ginger, berries); Omega-3 fatty acids (salmon, chia seeds); Vitamin C (bell peppers, citrus fruits); Hydration; Avoid processed and fried foods",Requires Clinical Validation - not specified in source data
Cancer,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Carpal Tunnel Syndrome,"Anti-inflammatory foods (turmeric, ginger); Omega-3 fatty acids (chia seeds, salmon); Magnesium-rich foods (spinach, almonds); Vitamin B6-rich foods (bananas, poultry); Avoid excess caffeine and sugar",Requires Clinical Validation - not specified in source data
Cholecystitis,"Low-fat diet (lean proteins, vegetables); Avoid fried and fatty foods; High-fiber foods (whole grains, fruits); Hydration; Small frequent meals",Requires Clinical Validation - not specified in source data
Chronic Back Pain,"Anti-inflammatory foods (berries, turmeric); Calcium and Vitamin D (milk, cheese, eggs); Magnesium-rich foods (nuts, leafy greens); Omega-3s (salmon)",Requires Clinical Validation - not specified in source data
Chronic Constipation,"High-fiber foods (whole grains, fruits, vegetables); Hydration; Probiotics (yogurt, kimchi); Limit processed and fatty foods; Regular meals and physical activity",Requires Clinical Validation - not specified in source data
Chronic Kidney Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Chronic Liver Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Chronic Obstructive Pulmonary Disease (copd),"Anti-inflammatory foods (turmeric, ginger, berries); Omega-3 fatty acids (wild salmon, walnuts); High-protein foods (chicken, beans); Vitamin C-rich foods (oranges, broccoli); Hydration",Requires Clinical Validation - not specified in source data
Cirrhosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Common Cold,"Hydration (water, herbal teas); Vitamin C-rich foods (citrus, kiwi); Zinc-rich foods (nuts, seeds); Chicken soup; Avoid dairy if mucus increases",Requires Clinical Validation - not specified in source data
Complex Regional Pain Syndrome,"Anti-inflammatory foods (turmeric, berries, leafy greens); Omega-3 fatty acids (salmon, walnuts); Magnesium-rich foods (spinach, almonds); Vitamin D-rich foods (fortified milk, egg yolks); Avoid processed sugars and alcohol",Requires Clinical Validation - not specified in source data
Concussion,"Omega-3 fatty acids (chia seeds, salmon); Antioxidant-rich foods (blueberries, dark chocolate); Protein-rich foods (eggs, chicken); Hydration; B vitamins (whole grains, leafy greens)",Requires Clinical Validation - not specified in source data
Conjunctivitis,"Vitamin A-rich foods (carrots, spinach); Zinc-rich foods (pumpkin seeds); Hydration; Probiotics (yogurt); Avoid dairy if allergic",Requires Clinical Validation - not specified in source data
Conjunctivitis Due To Allergy,"Antihistamine-rich foods (quercetin in apples, onions); Omega-3 fatty acids (salmon, flaxseeds); Vitamin C-rich foods (citrus); Hydration; Avoid allergens",Requires Clinical Validation - not specified in source data
Contact Dermatitis,"Avoid allergenic foods; Anti-inflammatory foods (turmeric, ginger); Hydrating fluids; Vitamin E-rich foods (nuts, seeds); Probiotics (fermented foods)",Requires Clinical Validation - not specified in source data
Copd,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Cornea Infection,"Vitamin A-rich foods (carrots, sweet potatoes, spinach); Zinc-rich foods (pumpkin seeds, beef); Hydration (water); Avoid alcohol and smoking; Omega-3-rich foods (flaxseed, salmon)",Requires Clinical Validation - not specified in source data
Coronary Artery Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Covid-19,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Covid19,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Crohn Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Croup,"Hydration; Humidified air; Vitamin C-rich foods (oranges, strawberries); Avoid dairy if mucus worsens; Soft, easy to swallow foods (soups, smoothies)",Requires Clinical Validation - not specified in source data
Cystic Fibrosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Cystitis,"Hydration (water, cranberry juice); Avoid caffeine and alcohol; Vitamin C-rich foods (oranges, strawberries); Probiotics (yogurt, kefir); Avoid spicy and acidic foods",Requires Clinical Validation - not specified in source data
Degenerative Disc Disease,"Calcium-rich foods (milk, cheese); Vitamin D-rich foods (fatty fish, egg yolk); Anti-inflammatory foods (berries, leafy greens); Magnesium sources (pumpkin seeds, almonds); Protein-rich foods (chicken, legumes)",Requires Clinical Validation - not specified in source data
Dementia,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Dengue,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Dental Caries,"Calcium-rich foods (milk, cheese); Vitamin D-rich foods (fatty fish, fortified cereals); Limit sugary and sticky foods; Crunchy fruits and vegetables (apples, carrots); Green tea",Requires Clinical Validation - not specified in source data
Depression,"Omega-3 fatty acids (salmon, walnuts); Vitamin D-rich foods (egg yolk, fortified cereals); Complex carbs (whole grains, legumes); Folate-rich foods (leafy greens, beans); Limit processed sugars and caffeine",Requires Clinical Validation - not specified in source data
Dermatitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Developmental Disability,"Balanced, nutrient-dense diet; Omega-3 fatty acids (fish, flaxseeds); B vitamins (whole grains, meat); Fiber-rich foods; Limit sugar and artificial additives",Requires Clinical Validation - not specified in source data
Diabetes,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Diaper Rash,"Breastfeeding (for infants); For older babies: Avoid acidic foods (tomatoes, citrus); Probiotics (yogurt); Zinc-rich foods (eggs, meat); Hydration",Requires Clinical Validation - not specified in source data
Diverticulitis,"Low-fiber diet during flare-up (white bread, white rice); Hydration; Gradual increase to high-fiber diet (fruits, vegetables, whole grains); Avoid nuts and seeds during flare-ups; Probiotics",Requires Clinical Validation - not specified in source data
Drug Reaction,"Balanced diet with antioxidants (berries, leafy greens); Hydration; Avoid processed and allergenic foods; Vitamin C and E-rich foods (nuts, seeds, citrus); Consult doctor for specific restrictions",Requires Clinical Validation - not specified in source data
Ear Drum Damage,"Protein-rich foods (lean meats, eggs); Vitamin C-rich foods (citrus, broccoli); Zinc-rich foods (shellfish, pumpkin seeds); Hydration; Avoid irritants",Requires Clinical Validation - not specified in source data
Eczema,"Anti-inflammatory foods (turmeric, blueberries); Omega-3 fatty acids (salmon, chia seeds); Avoid allergenic foods (dairy, gluten); Probiotics; Vitamin D (eggs, mushrooms)",Requires Clinical Validation - not specified in source data
Ehlers Danlos Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Epilepsy,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Esophagitis,"Soft, bland diet (bananas, applesauce, oatmeal); Avoid spicy, acidic, and fatty foods; Small frequent meals; Hydration; Avoid caffeine and alcohol",Requires Clinical Validation - not specified in source data
Eustachian Tube Dysfunction (ear Disorder),"Anti-inflammatory foods (berries, leafy greens); Vitamin C-rich foods (oranges, peppers); Hydration; Avoid dairy if congestion worsens; Probiotics (yogurt)",Requires Clinical Validation - not specified in source data
Fanconi Anemia,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Flu,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Food Poisoning,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Fungal Infection Of The Hair,"Antifungal foods (garlic, coconut oil); Probiotics (yogurt, kefir); Vitamin E-rich foods (nuts, seeds); Zinc-rich foods (beef, pumpkin seeds); Avoid sugar and processed foods",Requires Clinical Validation - not specified in source data
Gallstone,"Low-fat diet (steamed vegetables, lean meats); High-fiber foods (whole grains, apples); Avoid fried foods and refined carbs; Hydration; Small frequent meals",Requires Clinical Validation - not specified in source data
Gastritis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Gastrointestinal Hemorrhage,"Avoid spicy and acidic foods; Bland diet (bananas, rice, applesauce); Hydration; Iron-rich foods post bleeding (spinach, beans); Avoid alcohol and NSAIDs",Requires Clinical Validation - not specified in source data
Gaucher Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Generalized Anxiety Disorder,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Gout,"Low-purine foods (vegetables, whole grains); Cherries and berries; Hydration; Limit red meat and seafood; Avoid alcohol and sugary drinks",Requires Clinical Validation - not specified in source data
Gum Disease,"Vitamin C-rich foods (citrus fruits, strawberries); Calcium-rich foods (milk, yogurt); Green tea; Avoid sugary and sticky foods; Omega-3 fatty acids (walnuts, flaxseeds)",Requires Clinical Validation - not specified in source data
