Disease_ID,Disease_Name,Description,Symptoms,Symptom_Count,Disease_Category,Severity,Emergency_Flag,Risk_Level,Department,Medications,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Source_Datasets,Clinical_Validation_Status,disease_norm,Severity_Score,Risk_Score
DIS000001,Actinic Keratosis,"Actinic keratosis is a rough, scaly patch on the skin caused by prolonged sun exposure, and is considered a precancerous condition that can develop into squamous cell carcinoma.","abnormal appearing skin; irregular appearing scalp; itching of skin; skin dryness, peeling, scaliness, or roughness; skin growth; skin irritation; skin lesion; skin moles; skin rash; skin swelling; symptoms of the face",11,Dermatological,Mild,0,Low,Dermatology,Topical 5-fluorouracil; Imiquimod cream; Diclofenac gel; Cryotherapy; Photodynamic therapy,"Antioxidant-rich foods (berries, spinach, nuts); Vitamin E-rich foods (almonds, sunflower seeds); Omega-3 fatty acids (salmon, flaxseeds); Green tea; Avoid excessive sun exposure",Avoid sun exposure,Use broad-spectrum sunscreen,Wear protective clothing,See dermatologist regularly,Indoor workouts: Avoid sun exposure; Gentle stretching: Maintain skin comfort; Low-sweat activities: Prevent skin irritation; Walking in shaded areas: If outdoor movement needed,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),actinic keratosis,1,1
DIS000002,Acute Bronchiolitis,"Acute bronchiolitis is a common lower respiratory tract infection in infants, usually caused by RSV, leading to wheezing, coughing, and difficulty breathing.",coryza; cough; decreased appetite; difficulty breathing; fever; hurts to breath; irritable infant; nasal congestion; pulling at ears; shortness of breath; vomiting; wheezing,12,Respiratory,Mild,0,Low,Pulmonology,"Supportive care; Nasal suctioning; Saline nebulization; Oxygen therapy (if hypoxic); Antipyretics (e.g., Paracetamol)","Hydration (water, herbal teas); Vitamin C-rich foods (oranges, strawberries); Protein-rich foods (chicken, beans); Avoid dairy if mucus increases; Anti-inflammatory foods (ginger, turmeric)",Keep child hydrated,Use humidifier,Avoid exposure to smoke,Monitor breathing,Rest during illness: Avoid all exertion; Breathing therapy: Rebuild lung strength; Light walking: Only after full recovery; Avoid dusty or polluted areas: Protect airways,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),acute bronchiolitis,1,1
DIS000003,Acute Bronchitis,"Acute bronchitis is inflammation of the bronchial tubes in the lungs, typically caused by a viral infection, resulting in cough, mucus production, chest discomfort, and low-grade fever.",congestion in chest; coryza; cough; coughing up sputum; difficulty breathing; fever; headache; nasal congestion; sharp chest pain; shortness of breath; sore throat; wheezing,12,Respiratory,Moderate,0,Medium,Pulmonology,"Cough suppressants (e.g., Dextromethorphan); Expectorants (e.g., Guaifenesin); Bronchodilators (if wheezing); NSAIDs; Antibiotics (only if bacterial suspected)","Hydration; Vitamin C-rich foods (citrus fruits, bell peppers); Avoid dairy if mucus increases; Anti-inflammatory foods (ginger, turmeric); Protein-rich foods (chicken, beans)",Avoid smoking,Drink warm fluids,Use cough suppressants if needed,Rest and recover,Breathing exercises: Aid recovery; Rest: Essential during coughing phase; Walking: Gradually reintroduce activity; Avoid cold-air workouts: Prevent airway constriction,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),acute bronchitis,2,2
DIS000004,Acute Bronchospasm,"Acute bronchospasm is a sudden constriction of the muscles in the walls of the bronchioles, often triggered by asthma or allergens, causing wheezing and difficulty breathing.",chest tightness; coryza; cough; difficulty breathing; fever; nasal congestion; sharp chest pain; shortness of breath; sore throat; vomiting; wheezing,11,Respiratory,Severe,1,High,Pulmonology,"Short-acting beta-agonists (e.g., Albuterol); Anticholinergics; Systemic corticosteroids; Oxygen therapy; Magnesium sulfate (in severe cases)","Anti-inflammatory foods (ginger, turmeric); Omega-3 fatty acids (wild salmon, chia seeds); Vitamin C-rich foods (citrus fruits); Hydration; Avoid dairy if mucus increases",Avoid cold air,Use bronchodilator inhaler,Avoid allergens,Monitor breathing patterns,Rest until stable: Avoid exertion during flare-ups; Breathing exercises: Strengthen respiratory muscles; Gentle stretching: Promote oxygen flow; Indoor walking: In controlled environments,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),acute bronchospasm,3,3
DIS000005,Acute Gastroenteritis,Requires Clinical Validation,abdominal bloating; anxiety; bone pain; cold intolerance; compulsions; confusion; digital ulcers; enthesitis; hypopigmentation; joint swelling; limp; livedo reticularis; low back pain; low mood; memory loss; muscle weakness msk; neck pain; obsessions; panic attacks; prolonged bleeding; spasticity; spine rigidity; tendon tenderness; weight loss unintentional,24,Digestive,Mild,0,Low,Gastroenterology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),acute gastroenteritis,1,1
DIS000006,Acute Kidney Injury,"Acute kidney injury (AKI) is a sudden loss of kidney function due to illness, injury, or toxins, leading to buildup of waste products in the blood.",dizziness; kidney mass; nausea; peripheral edema; retention of urine; sharp abdominal pain; sharp chest pain; shortness of breath; symptoms of the kidneys; vomiting; weakness,11,Renal & Urinary,Severe,1,High,Nephrology / Urology,"IV fluids; Diuretics (e.g., Furosemide); Electrolyte management; Discontinue nephrotoxic drugs; Dialysis (if severe)","Low-protein diet (consult doctor); Limit sodium (avoid processed foods); Potassium regulation (bananas, potatoes – based on medical advice); Hydration monitoring; Avoid high-phosphorus foods (dairy, nuts)",Avoid NSAIDs,Stay hydrated,Monitor fluid intake,Follow renal diet plan,Gentle activity: Like walking during recovery; Avoid dehydration: Prioritize fluids with workouts; Strength training: Only when kidney function stabilizes; Workouts under supervision: Monitor vital signs,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),acute kidney injury,3,3
DIS000007,Acute Pancreatitis,"Acute pancreatitis is a sudden inflammation of the pancreas that causes severe abdominal pain, nausea, vomiting, and elevated pancreatic enzymes, often due to gallstones or alcohol use.",abusing alcohol; back pain; burning abdominal pain; diarrhea; hemoptysis; lower body pain; nausea; sharp abdominal pain; sharp chest pain; side pain; upper abdominal pain; vomiting,12,Hepatobiliary,Severe,1,High,Gastroenterology,"IV fluids; Pain relievers (e.g., Morphine); Antibiotics (if infection); Enzyme replacement therapy; Fasting/NPO","Low-fat foods (boiled vegetables, lean chicken breast); Small frequent meals; Broths and clear liquids (chicken broth, vegetable broth); Avoid alcohol and caffeine; Lean proteins (tofu, white fish)",Avoid alcohol,Eat a low-fat diet,Stay hydrated,Follow doctor's advice strictly,Avoid heavy lifting: Prevent strain on pancreas; Gentle stretching: Maintain flexibility; Rest: Allow healing; Breathing exercises: Reduce stress and pain,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),acute pancreatitis,3,3
DIS000008,Acute Sinusitis,"Acute sinusitis is a temporary inflammation or infection of the sinuses, usually following a cold, causing nasal congestion, facial pain, pressure, and headache.",coryza; cough; coughing up sputum; ear pain; facial pain; fever; frontal headache; nasal congestion; painful sinuses; sinus congestion; sore throat,11,Respiratory,Mild,0,Low,Pulmonology,"Saline nasal spray; Decongestants (e.g., Pseudoephedrine); Nasal corticosteroids; Antibiotics (if bacterial); Acetaminophen for pain","Spicy foods (hot peppers, horseradish); Hydration (water, herbal teas); Vitamin C-rich foods (oranges, strawberries); Warm teas (ginger, chamomile); Avoid processed sugars",Use nasal saline spray,Stay hydrated,Avoid allergens,Use warm compresses,"Nasal breathing exercises: Help open airways; Gentle yoga: Promotes drainage; Walking: Low intensity, improves circulation; Avoid cold-weather workouts: Prevent sinus aggravation",C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),acute sinusitis,1,1
DIS000009,Allergy,"An allergy is an overreaction of the immune system to substances like pollen, food, or medications, causing symptoms like sneezing, itching, rash, or anaphylaxis.",abnormal appearing skin; allergic reaction; cough; fluid retention; itchiness of eye; itching of skin; lip swelling; peripheral edema; skin rash; skin swelling; swollen eye,11,Autoimmune,Mild,0,Low,Immunology / Rheumatology,"Antihistamines (e.g., Loratadine); Decongestants (e.g., Pseudoephedrine); Epinephrine auto-injectors; Corticosteroids; Immunotherapy (allergy shots)","Elimination diet (avoid allergen foods); Omega-3 fatty acids (salmon, flaxseeds); Vitamin C-rich foods (oranges, bell peppers); Quercetin-rich foods (apples, onions); Probiotics (yogurt, kefir)",Apply calamine,Cover area with bandage,Use ice to compress itching,Avoid known allergens,Indoor workouts: Avoid pollen and triggers; Yoga: Calms body and immune system; Swimming in clean pools: Clears airways; Avoid exercising in high pollution: Protect respiratory health,"B,C",Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),allergy,1,1
DIS000010,Amyotrophic Lateral Sclerosis,Requires Clinical Validation,cold extremities; respiratory failure,2,Neurological,Severe,0,High,Neurology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),amyotrophic lateral sclerosis,3,3
