Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Actinic Keratosis,Avoid sun exposure,Use broad-spectrum sunscreen,Wear protective clothing,See dermatologist regularly
Acute Bronchiolitis,Keep child hydrated,Use humidifier,Avoid exposure to smoke,Monitor breathing
Acute Bronchitis,Avoid smoking,Drink warm fluids,Use cough suppressants if needed,Rest and recover
Acute Bronchospasm,Avoid cold air,Use bronchodilator inhaler,Avoid allergens,Monitor breathing patterns
Acute Gastroenteritis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Acute Kidney Injury,Avoid NSAIDs,Stay hydrated,Monitor fluid intake,Follow renal diet plan
Acute Pancreatitis,Avoid alcohol,Eat a low-fat diet,Stay hydrated,Follow doctor's advice strictly
Acute Sinusitis,Use nasal saline spray,Stay hydrated,Avoid allergens,Use warm compresses
Allergy,Apply calamine,Cover area with bandage,Use ice to compress itching,Avoid known allergens
Amyotrophic Lateral Sclerosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Anemia,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Angina,Avoid overexertion,Take nitroglycerin as prescribed,Manage stress,Avoid cold exposure
Anxiety,Practice relaxation techniques,Avoid stimulants like caffeine,Maintain regular sleep,Seek counseling if needed
Appendicitis,Avoid taking laxatives,Seek emergency care,Don’t eat or drink before surgery,Follow post-op instructions
Arthritis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Arthritis Of The Hip,Do low-impact exercises,Use walking aids if needed,Maintain healthy weight,Take anti-inflammatory medication
Asthma,Avoid known triggers,Use inhaler as prescribed,Monitor peak flow,Keep emergency inhaler handy
Benign Prostatic Hyperplasia (bph),Limit evening fluid intake,Avoid alcohol and caffeine,Empty bladder completely,Follow up with urologist
Brachial Neuritis,Avoid heavy lifting,Physical therapy,Manage pain with meds,Get adequate rest
Bronchitis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Bursitis,Rest the affected joint,Apply ice packs,Use joint support,Avoid repetitive strain
Cancer,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Carpal Tunnel Syndrome,Take frequent hand breaks,Use wrist splints,Avoid repetitive motions,Do stretching exercises
Cholecystitis,Avoid fatty foods,Stay hydrated,Follow up for imaging/tests,Take antibiotics as prescribed
Chronic Back Pain,Maintain proper posture,Regular stretching,Use ergonomic furniture,Avoid lifting heavy objects
Chronic Constipation,Increase fiber intake,Exercise regularly,Stay hydrated,Avoid delaying bowel movements
Chronic Kidney Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Chronic Liver Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Chronic Obstructive Pulmonary Disease (copd),Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Cirrhosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Common Cold,Drink plenty of fluids,Rest well,Use nasal decongestants,Practice good hygiene
Complex Regional Pain Syndrome,Follow physical therapy,Manage stress,Take prescribed medication,Avoid injury to the affected limb
Concussion,Rest and avoid screens,Avoid physical activity,Monitor symptoms,Follow up with neurologist
Conjunctivitis,Use prescribed eye drops,Avoid touching/rubbing eyes,Wash hands frequently,Don’t share towels
Conjunctivitis Due To Allergy,Avoid rubbing eyes,Use antihistamine drops,Keep environment clean,Avoid known allergens
Contact Dermatitis,Identify and avoid allergen,Use fragrance-free products,Apply soothing lotion,Wear gloves when needed
Copd,Avoid smoking,Use inhalers as prescribed,Stay away from air pollution,Get vaccinated against flu
Cornea Infection,Avoid touching eyes,Use prescribed eye drops,Wear sunglasses,Don’t share towels or cosmetics
Coronary Artery Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Covid-19,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Covid19,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Crohn Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Croup,Use humidified air,Keep child calm,Encourage fluid intake,Seek medical help for breathing difficulty
