Disease,Medicine,Medicine_Type,Dosage_Notes,Disclaimer
Actinic Keratosis,Topical 5-fluorouracil,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Actinic Keratosis,Imiquimod cream,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Actinic Keratosis,Diclofenac gel,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Actinic Keratosis,Cryotherapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Actinic Keratosis,Photodynamic therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchiolitis,Supportive care,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchiolitis,Nasal suctioning,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchiolitis,Saline nebulization,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchiolitis,Oxygen therapy (if hypoxic),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchiolitis,"Antipyretics (e.g., Paracetamol)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchitis,"Cough suppressants (e.g., Dextromethorphan)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchitis,"Expectorants (e.g., Guaifenesin)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchitis,Bronchodilators (if wheezing),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchitis,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchitis,Antibiotics (only if bacterial suspected),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchospasm,"Short-acting beta-agonists (e.g., Albuterol)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchospasm,Anticholinergics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchospasm,Systemic corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchospasm,Oxygen therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Bronchospasm,Magnesium sulfate (in severe cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Kidney Injury,IV fluids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Kidney Injury,"Diuretics (e.g., Furosemide)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Kidney Injury,Electrolyte management,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Kidney Injury,Discontinue nephrotoxic drugs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Kidney Injury,Dialysis (if severe),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Pancreatitis,IV fluids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Pancreatitis,"Pain relievers (e.g., Morphine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Pancreatitis,Antibiotics (if infection),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Pancreatitis,Enzyme replacement therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Pancreatitis,Fasting/NPO,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Sinusitis,Saline nasal spray,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Sinusitis,"Decongestants (e.g., Pseudoephedrine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Sinusitis,Nasal corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Sinusitis,Antibiotics (if bacterial),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Acute Sinusitis,Acetaminophen for pain,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Allergy,"Antihistamines (e.g., Loratadine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Allergy,"Decongestants (e.g., Pseudoephedrine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Allergy,Epinephrine auto-injectors,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
