Hospital_ID,Hospital_Name,Location,Contact,Email
HOSP000001,Saint Joseph Medical Center,"1924 Main St, Chicago, IL",+1-555-125-5506,contact@saintjosephmedicalcenter.org
HOSP000002,Chicago General Hospital,"4112 Main St, Boston, MA",+1-555-328-3286,contact@chicagogeneralhospital.org
HOSP000003,Mercy Health Clinic,"1779 Main St, Houston, TX",+1-555-792-9935,contact@mercyhealthclinic.org
HOSP000004,Swedish Covenant Hospital,"1524 Main St, San Francisco, CA",+1-555-704-7912,contact@swedishcovenanthospital.org
HOSP000005,St. Jude Research Hospital,"620 Main St, New York, NY",+1-555-130-2535,contact@stjuderesearchhospital.org
HOSP000006,Johns Hopkins Regional Care,"3682 Main St, Los Angeles, CA",+1-555-338-9279,contact@johnshopkinsregionalcare.org
HOSP000007,Northwestern Medicine Center,"9963 Main St, Seattle, WA",+1-555-127-4257,contact@northwesternmedicinecenter.org
HOSP000008,Mayo Clinic Care Center,"9028 Main St, Miami, FL",+1-555-529-4611,contact@mayocliniccarecenter.org
HOSP000009,Kaiser Permanente Hospital,"7459 Main St, Denver, CO",+1-555-703-5557,contact@kaiserpermanentehospital.org
HOSP000010,Memorial Sloan Kettering Center,"206 Main St, Atlanta, GA",+1-555-877-3615,contact@memorialsloanketteringcenter.org
HOSP000011,Cleveland Clinic Regional,"7024 Main St, Phoenix, AZ",+1-555-448-5552,contact@clevelandclinicregional.org
HOSP000012,Massachusetts General Hospital,"2647 Main St, Dallas, TX",+1-555-320-6514,contact@massachusettsgeneralhospital.org
HOSP000013,UCSF Health Medical Center,"1774 Main St, Philadelphia, PA",+1-555-194-7224,contact@ucsfhealthmedicalcenter.org
HOSP000014,Barnes-Jewish Hospital Center,"1684 Main St, Detroit, MI",+1-555-467-6635,contact@barnes-jewishhospitalcenter.org
HOSP000015,Mount Sinai Medical Hospital,"9991 Main St, Minneapolis, MN",+1-555-370-1711,contact@mountsinaimedicalhospital.org
HOSP000016,Brigham and Women's Clinic,"7627 Main St, Portland, OR",+1-555-649-3045,contact@brighamandwomensclinic.org
HOSP000017,Stanford Health Care Center,"6301 Main St, San Diego, CA",+1-555-180-5803,contact@stanfordhealthcarecenter.org
HOSP000018,UPMC Presbyterian Hospital,"6025 Main St, Austin, TX",+1-555-691-4150,contact@upmcpresbyterianhospital.org
HOSP000019,NYU Langone Medical Clinic,"1239 Main St, Baltimore, MD",+1-555-146-4733,contact@nyulangonemedicalclinic.org
HOSP000020,Vanderbilt Health Center,"4841 Main St, Charlotte, NC",+1-555-181-4814,contact@vanderbilthealthcenter.org
HOSP000021,Cedars-Sinai Medical Center,"1754 Main St, Chicago, IL",+1-555-489-5554,contact@cedars-sinaimedicalcenter.org
HOSP000022,Duke University Health System,"7528 Main St, Boston, MA",+1-555-750-6977,contact@dukeuniversityhealthsystem.org
HOSP000023,Methodist Hospital Center,"2764 Main St, Houston, TX",+1-555-479-6820,contact@methodisthospitalcenter.org
HOSP000024,Yale New Haven Health Clinic,"3532 Main St, San Francisco, CA",+1-555-786-5374,contact@yalenewhavenhealthclinic.org
HOSP000025,Jefferson Health Center,"1269 Main St, New York, NY",+1-555-723-3803,contact@jeffersonhealthcenter.org
HOSP000026,Advocate Lutheran General,"8851 Main St, Los Angeles, CA",+1-555-846-5010,contact@advocatelutherangeneral.org
HOSP000027,Tufts Medical Center,"2777 Main St, Seattle, WA",+1-555-573-7216,contact@tuftsmedicalcenter.org
HOSP000028,Baylor University Medical Clinic,"4522 Main St, Miami, FL",+1-555-755-4598,contact@bayloruniversitymedicalclinic.org
HOSP000029,St. Luke's Health Center,"5413 Main St, Denver, CO",+1-555-963-1916,contact@stlukeshealthcenter.org
HOSP000030,Northside General Hospital,"3852 Main St, Atlanta, GA",+1-555-941-1525,contact@northsidegeneralhospital.org
HOSP000031,Saint Joseph Medical Center Phoenix,"5268 Main St, Phoenix, AZ",+1-555-510-5386,contact@saintjosephmedicalcenterphoenix.org
HOSP000032,Chicago General Hospital Dallas,"1184 Main St, Dallas, TX",+1-555-316-6155,contact@chicagogeneralhospitaldallas.org
HOSP000033,Mercy Health Clinic Philadelphia,"3583 Main St, Philadelphia, PA",+1-555-771-9179,contact@mercyhealthclinicphiladelphia.org
HOSP000034,Swedish Covenant Hospital Detroit,"6582 Main St, Detroit, MI",+1-555-758-8517,contact@swedishcovenanthospitaldetroit.org
HOSP000035,St. Jude Research Hospital Minneapolis,"2440 Main St, Minneapolis, MN",+1-555-371-3287,contact@stjuderesearchhospitalminneapolis.org
HOSP000036,Johns Hopkins Regional Care Portland,"4140 Main St, Portland, OR",+1-555-862-9830,contact@johnshopkinsregionalcareportland.org
HOSP000037,Northwestern Medicine Center San Diego,"4404 Main St, San Diego, CA",+1-555-864-8019,contact@northwesternmedicinecentersandiego.org
HOSP000038,Mayo Clinic Care Center Austin,"9660 Main St, Austin, TX",+1-555-508-6930,contact@mayocliniccarecenteraustin.org
HOSP000039,Kaiser Permanente Hospital Baltimore,"3693 Main St, Baltimore, MD",+1-555-241-9348,contact@kaiserpermanentehospitalbaltimore.org
HOSP000040,Memorial Sloan Kettering Center Charlotte,"8185 Main St, Charlotte, NC",+1-555-193-1771,contact@memorialsloanketteringcentercharlotte.org
HOSP000041,Cleveland Clinic Regional Chicago,"1896 Main St, Chicago, IL",+1-555-256-3621,contact@clevelandclinicregionalchicago.org
HOSP000042,Massachusetts General Hospital Boston,"7016 Main St, Boston, MA",+1-555-710-2040,contact@massachusettsgeneralhospitalboston.org
HOSP000043,UCSF Health Medical Center Houston,"6404 Main St, Houston, TX",+1-555-490-8668,contact@ucsfhealthmedicalcenterhouston.org
HOSP000044,Barnes-Jewish Hospital Center San Francisco,"8769 Main St, San Francisco, CA",+1-555-357-1188,contact@barnes-jewishhospitalcentersanfrancisco.org
HOSP000045,Mount Sinai Medical Hospital New York,"1976 Main St, New York, NY",+1-555-798-9797,contact@mountsinaimedicalhospitalnewyork.org
HOSP000046,Brigham and Women's Clinic Los Angeles,"4471 Main St, Los Angeles, CA",+1-555-887-6573,contact@brighamandwomenscliniclosangeles.org
HOSP000047,Stanford Health Care Center Seattle,"1927 Main St, Seattle, WA",+1-555-400-8123,contact@stanfordhealthcarecenterseattle.org
HOSP000048,UPMC Presbyterian Hospital Miami,"2691 Main St, Miami, FL",+1-555-564-1053,contact@upmcpresbyterianhospitalmiami.org
HOSP000049,NYU Langone Medical Clinic Denver,"4415 Main St, Denver, CO",+1-555-612-3927,contact@nyulangonemedicalclinicdenver.org
HOSP000050,Vanderbilt Health Center Atlanta,"8417 Main St, Atlanta, GA",+1-555-208-5889,contact@vanderbilthealthcenteratlanta.org
HOSP000051,Cedars-Sinai Medical Center Phoenix,"8417 Main St, Phoenix, AZ",+1-555-723-4258,contact@cedars-sinaimedicalcenterphoenix.org
HOSP000052,Duke University Health System Dallas,"2604 Main St, Dallas, TX",+1-555-482-3646,contact@dukeuniversityhealthsystemdallas.org
HOSP000053,Methodist Hospital Center Philadelphia,"8937 Main St, Philadelphia, PA",+1-555-897-9689,contact@methodisthospitalcenterphiladelphia.org
HOSP000054,Yale New Haven Health Clinic Detroit,"109 Main St, Detroit, MI",+1-555-713-6310,contact@yalenewhavenhealthclinicdetroit.org
HOSP000055,Jefferson Health Center Minneapolis,"8105 Main St, Minneapolis, MN",+1-555-119-2832,contact@jeffersonhealthcenterminneapolis.org
HOSP000056,Advocate Lutheran General Portland,"6047 Main St, Portland, OR",+1-555-999-6038,contact@advocatelutherangeneralportland.org
HOSP000057,Tufts Medical Center San Diego,"4023 Main St, San Diego, CA",+1-555-159-4946,contact@tuftsmedicalcentersandiego.org
HOSP000058,Baylor University Medical Clinic Austin,"9395 Main St, Austin, TX",+1-555-180-2403,contact@bayloruniversitymedicalclinicaustin.org
HOSP000059,St. Luke's Health Center Baltimore,"8062 Main St, Baltimore, MD",+1-555-935-2133,contact@stlukeshealthcenterbaltimore.org
HOSP000060,Northside General Hospital Charlotte,"8827 Main St, Charlotte, NC",+1-555-884-3060,contact@northsidegeneralhospitalcharlotte.org
HOSP000061,Saint Joseph Medical Center Chicago,"2203 Main St, Chicago, IL",+1-555-775-8787,contact@saintjosephmedicalcenterchicago.org
HOSP000062,Chicago General Hospital Boston,"9107 Main St, Boston, MA",+1-555-269-5342,contact@chicagogeneralhospitalboston.org
HOSP000063,Mercy Health Clinic Houston,"8745 Main St, Houston, TX",+1-555-993-7932,contact@mercyhealthclinichouston.org
HOSP000064,Swedish Covenant Hospital San Francisco,"3570 Main St, San Francisco, CA",+1-555-652-4295,contact@swedishcovenanthospitalsanfrancisco.org
HOSP000065,St. Jude Research Hospital New York,"5207 Main St, New York, NY",+1-555-508-7118,contact@stjuderesearchhospitalnewyork.org
HOSP000066,Johns Hopkins Regional Care Los Angeles,"7277 Main St, Los Angeles, CA",+1-555-629-8397,contact@johnshopkinsregionalcarelosangeles.org
HOSP000067,Northwestern Medicine Center Seattle,"2082 Main St, Seattle, WA",+1-555-353-4681,contact@northwesternmedicinecenterseattle.org
HOSP000068,Mayo Clinic Care Center Miami,"1149 Main St, Miami, FL",+1-555-446-1344,contact@mayocliniccarecentermiami.org
HOSP000069,Kaiser Permanente Hospital Denver,"9738 Main St, Denver, CO",+1-555-667-4770,contact@kaiserpermanentehospitaldenver.org
HOSP000070,Memorial Sloan Kettering Center Atlanta,"9741 Main St, Atlanta, GA",+1-555-325-1117,contact@memorialsloanketteringcenteratlanta.org
HOSP000071,Cleveland Clinic Regional Phoenix,"1263 Main St, Phoenix, AZ",+1-555-824-1964,contact@clevelandclinicregionalphoenix.org
HOSP000072,Massachusetts General Hospital Dallas,"3850 Main St, Dallas, TX",+1-555-169-1514,contact@massachusettsgeneralhospitaldallas.org
HOSP000073,UCSF Health Medical Center Philadelphia,"5513 Main St, Philadelphia, PA",+1-555-172-9423,contact@ucsfhealthmedicalcenterphiladelphia.org
HOSP000074,Barnes-Jewish Hospital Center Detroit,"3999 Main St, Detroit, MI",+1-555-385-8953,contact@barnes-jewishhospitalcenterdetroit.org
HOSP000075,Mount Sinai Medical Hospital Minneapolis,"3610 Main St, Minneapolis, MN",+1-555-652-3167,contact@mountsinaimedicalhospitalminneapolis.org
HOSP000076,Brigham and Women's Clinic Portland,"9455 Main St, Portland, OR",+1-555-690-8744,contact@brighamandwomensclinicportland.org
HOSP000077,Stanford Health Care Center San Diego,"4081 Main St, San Diego, CA",+1-555-903-8749,contact@stanfordhealthcarecentersandiego.org
HOSP000078,UPMC Presbyterian Hospital Austin,"6769 Main St, Austin, TX",+1-555-294-2545,contact@upmcpresbyterianhospitalaustin.org
HOSP000079,NYU Langone Medical Clinic Baltimore,"1688 Main St, Baltimore, MD",+1-555-774-8062,contact@nyulangonemedicalclinicbaltimore.org
HOSP000080,Vanderbilt Health Center Charlotte,"5904 Main St, Charlotte, NC",+1-555-533-7735,contact@vanderbilthealthcentercharlotte.org
HOSP000081,Cedars-Sinai Medical Center Chicago,"7751 Main St, Chicago, IL",+1-555-984-1887,contact@cedars-sinaimedicalcenterchicago.org
HOSP000082,Duke University Health System Boston,"1712 Main St, Boston, MA",+1-555-162-7596,contact@dukeuniversityhealthsystemboston.org
HOSP000083,Methodist Hospital Center Houston,"5659 Main St, Houston, TX",+1-555-919-2790,contact@methodisthospitalcenterhouston.org
HOSP000084,Yale New Haven Health Clinic San Francisco,"4173 Main St, San Francisco, CA",+1-555-296-4116,contact@yalenewhavenhealthclinicsanfrancisco.org
HOSP000085,Jefferson Health Center New York,"8886 Main St, New York, NY",+1-555-559-3296,contact@jeffersonhealthcenternewyork.org
HOSP000086,Advocate Lutheran General Los Angeles,"7012 Main St, Los Angeles, CA",+1-555-287-5563,contact@advocatelutherangenerallosangeles.org
